,sentence
178,"If you don't understand something, it's because you aren't aware of its context."
179,"The past can only be known, not changed. The future can only be changed, not known."
180,The key question is not what can I gain but what do I have to lose.
181,Anything that can be misunderstood will be.
182,Any universe simple enough to be understood is too simple to produce a mind able to understand it.
183,Why is life so full of suffering?
184,"Despite the importance of sleep, its purpose is a mystery."
185,What does it mean to have an educated mind in the 21st century?
186,Passion creates suffering.
187,The train from Geneva will arrive at the station.
188,I would like to give him a present for his birthday.
189,I'm starving!
190,Do you have friends in Antigua?
191,A cubic meter corresponds to 1000 liters.
192,I have so much work that I will stay for one more hour.
193,I am married and have two children.
194,He plays the piano very well.
195,I see it rarely.
196,I'd like to study in Paris.
197,You don't know who I am.
198,Why don't you eat vegetables?
199,Why do people go to the movies?
200,I'm undressing.
201,The car crashed into the wall.
202,There are no real visions.
203,"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say."
204,"In a dictionary like this one there should be at least two sentences with ""fridge""."
205,Creationism is a pseudo-science.
206,The wind calmed down.
207,I don't want to propose to you!
208,Give me time to give you everything I have!
209,A democrat is a free citizen who yields to the will of the majority.
210,"Where there's a will, there's a way."
211,"Who searches, finds."
212,Rome wasn't built in a day.
213,Silence gives consent.
214,"""Have you finished?"" ""On the contrary, I have not even begun yet."""
215,"""Good morning"", said Tom with a smile."
216,"Why does one say ""Good day"" when the day is not good?"
217,Wine is poetry in bottles.
218,That was the best day of my life.
219,I don't understand German.
220,I made my decision.
221,I give you my word.
222,You are the great love of my life.
223,Being objective means not telling everybody whose side you are on.
224,We have a Pope.
225,The whole is greater than the sum of the parts.
226,A mathematical truth is neither simple nor complicated; it is.
227,"Mathematicians are poets, except that they have to prove what their fantasy creates."
228,Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.
229,"An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them."
230,Doing math is the only socially acceptable way to masturbate in public.
231,"There are 10 types of people in the world: those who understand binary, and those who don't."
232,"I don't think, therefore I am not."
233,"Nowadays we want our children to make their own decisions, but we expect those decisions to please us."
234,"Don't worry, be happy!"
235,I find foreign languages very interesting.
236,I don't like learning irregular verbs.
237,Take a book and read it.
238,Face life with a smile!
239,"Most schools were designed not to transform society, but to reproduce it."
240,You make me dream.
241,I'm beside myself with joy.
242,He's already a man.
243,The vacation is over now.
244,I'm afraid to fall.
245,Evening dress is desired.
246,That's the absolute truth.
247,It's cold.
248,I'm thirsty.
249,"When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time."
250,"When you can't do what you want, you do what you can."
251,Give him an inch and he'll take a yard.
252,You did this intentionally!
253,You didn't tell him anything?
254,You made me lose my mind.
255,You're my type.
256,You're irresistible.
257,"Could you call again later, please?"
258,Who am I talking with?
259,"I accept, but only under one condition."
260,"Smile now, cry later!"
261,At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.
262,Life is beautiful.
263,There are days where I feel like my brain wants to abandon me.
264,I can't cut my nails and do the ironing at the same time!
265,I can't take it anymore! I haven't slept for three days!
266,He doesn't want you to tell him about your sex life.
267,Have you ever eaten a banana pie?
268,Why would you marry a woman if you like men?
269,"If you can't have children, you could always adopt."
270,Are you for or against abortions?
271,What made you change your mind?
272,"Hey, look, a three-headed monkey!"
273,It's a pity that you can't buy miracles like you would buy potatoes.
274,I love lasagna.
275,"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good."
276,"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead."
277,"Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it."
278,"If you raise an eyebrow, it can mean ""I want to have sex with you"", but also ""I find that what you just said is completely idiotic."""
279,The brain is just a complicated machine.
280,"A schedule is an identity card for time, but, if you don't have a schedule, the time isn't there."
281,This baby penguin is too cute!
282,I'm at the hospital. I got struck by lightning.
283,"Let's face it, it's impossible. We're never gonna make it."
284,What is your greatest source of inspiration?
285,You don't marry someone you can live with — you marry the person whom you cannot live without.
286,"In theory, there is no difference between theory and practice. But, in practice, there is."
287,"Don't stay in bed, unless you can make money in bed."
288,"There are people in the world so hungry, that God cannot appear to them except in the form of bread."
289,Anything that is too stupid to be spoken is sung.
290,It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.
291,I was rereading the letters you sent to me.
292,I don't want to go to school.
293,It's over between us. Give me back my ring!
294,It is raining.
295,"I was planning on going to the beach today, but then it started to rain."
296,"She's really smart, isn't she?"
297,An opinion is shocking only if it is a conviction.
298,"People who love doubt nothing, or doubt everything."
299,Justice is expensive.
300,Liberty consists of being able to make everything as harmless as possible.
301,The slowest one to make a promise is the most faithful one in keeping it.
302,Every opinion is a mixture of truth and mistakes.
303,Life is a fatal sexually transmitted disease.
304,"If two men always have the same opinion, one of them is unnecessary."
305,Our opinion is an idea which we have; our conviction an idea which has us.
306,"Tomorrow, I'm going to study at the library."
307,Too late.
308,I went to the zoo yesterday.
309,We won the battle.
310,Hello? Are you still here?
311,I make lunch every day.
312,I watched TV this morning.
313,I read a book while eating.
314,I slept a little during lunch break because I was so tired.
315,I started learning Chinese last week.
316,It is easier to hit on people on the Internet than in the street.
317,"I live near the sea, so I often get to go to the beach."
318,Someday I will buy a cotton candy machine.
319,It's practical to have a laptop.
320,Your glasses fell on the floor.
321,How many times a day do you look at yourself in the mirror?
322,We went to London last year.
323,She doesn't want to talk about it.
324,I lost my inspiration.
325,"If you don't have anything to do, look at the ceiling of your room."
326,It doesn't mean anything!
327,Be patient please. It takes time.
328,Close the door when you leave.
329,This is such a sad story.
330,"If there's no solution, then there's no problem."
331,My little brother is watching TV.
332,It's presumptuous for humans to assume that our task is to do what only God can do.
333,"An astute reader should be willing to weigh everything they read, including anonymous sources."
334,"Denying she was an anarchist, Katja maintained she wished only to make changes in our government, not to destroy it."
335,"Blindness is responsible for a staggering toll of poor health, suffering, and loss of dignity and diminution in the quality of lives of people worldwide."
336,"The formation and movement of hurricanes are capricious, even with our present-day technology."
337,"When you send a telegram, brevity is essential because you will be charged for every word."
338,"David has a keen interest in aesthetics — the qualities that make a painting, sculpture, musical composition, or poem pleasing to the eye, ear, or mind."
339,"Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him."
340,You met him at the university?
341,Aaah!! My computer is broken!
342,The private colleges and universities of the United States are autonomous.
343,"Every time I join a new game of Warcraft, I am pitted against a new team of adversaries."
344,"From the moment that I knew that the university existed, I've wanted to go there."
345,My apathy for voting comes from my distaste for politics.
346,The ascendancy of monarchs is what keeps their subjects from rebellion.
347,Sarah was discerning enough to realize that her friends were trying to prank her.
348,The orchestra makes discordant noises when tuning up.
349,The discrepancy between the stories of the two parties involved in the accident was so great that the authorities had a hard time deciding which side was telling the truth.
350,"Yes, it happens from time to time."
351,I have a great fear of being disdained by those I love and care about.
352,"Most people have a great disinclination to get out of bed early, even if they have to."
353,Most people only want to hear their own truth.
354,The audience acclaimed the actors for their performance.
355,It is good to have ideals... don't you think?
356,The student decided to abridge his paper by taking out unnecessary details.
357,People in the world are always advocating for more freedom and equality.
358,Politicians are always censured for outrageous or inappropriate behavior.
359,Ms. Eichler had a notorious reputation for being austere to her students.
360,"If you don't listen to us, we will have to resort to coercion."
361,"When I have migraines, aspirin doesn't alleviate the pain for me."
362,Spenser's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously.
363,My mother prefers the arbitrary selection of the lottery machines over my lucky numbers.
364,"To him, hunger was an abstract concept; he always had enough to eat."
365,The convicted drug dealer was willing to comply with the authorities to have his death sentence reduced to a life sentence.
366,I consider the Jehovah's witnesses who knock on my door all the time to be no different from religious zealots trying to force their beliefs on me.
367,The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.
368,My next door neighbor is a virtuoso whose skills with the piano have earned him a name among music experts.
369,He was sick of being vilified all the time by people who were jealous of his ability.
370,Sven was so verbose that his friends resorted to calling him a chatterbox.
371,Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.
372,"Unsure of which suitor she wanted to marry, the princess vacillated, saying now one, now the other."
373,"With the heirless king going crazy and royal family poisoned, the general of the army finally had his chance to usurp the throne."
374,The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.
375,"As the plane was approaching turbulence, the pilot asked the passengers aboard the plane to fasten their seat belts."
376,There is a fine line between speech that is terse and to the point and speech that is too abrupt.
377,"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college."
378,"Jason was a taciturn individual, so it was always a real surprise when he said anything."
379,"The king was tired of his sycophants always praising him, so he sent them away."
380,Spenser would not tell anyone his surreptitious plan to get back at his friends for pranking him.
381,"If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him."
382,There was always too much superfluous writing in his essays.
383,"His essay gave only a superficial analysis of the problem, so it was a real surprise to him when he got the highest grade in the class."
384,"It depends what you mean by ""believe"" in God."
385,"Professors should explain everything in detail, not be succinct and always tell students to go home and read their books."
386,"If I gave no answer, I would not have spoken."
387,Prosecutors in court have to substantiate their claims in order to prove a suspect is guilty.
388,The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.
389,"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism."
390,"My roommate is prodigal when it comes to spending money on movies; he buys them the day they're released, regardless of price."
391,The profane language used on network television makes many parents with young children not want to subscribe to cable.
392,Freud's insights into human behavior led to him being honored as a profound thinker.
393,Food and drink were served in such profusion at the wedding that the bride and groom began to wonder if they should not have invited more guests.
394,The proliferation of Internet usage has given birth to a new generation of young people.
395,"My friends say I'm a prolific writer, but I haven't written anything for months."
396,Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.
397,A miser hoards money not because he is prudent but because he is greedy.
398,"When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with."
399,"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union."
400,The defense lawyer was confident that he would be able to answer the prosecutor's arguments in his rebuttal.
401,Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.
402,Teachers must get tired of rectifying the same mistakes over and over again in their students' papers.
403,The bottles of beer that I brought to the party were redundant; the host's family owned a brewery.
404,The witnesses were able to refute the false testimony of the suspect.
405,The guild leader relegated Vince to a lesser officer because he was abusing his power.
406,Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.
407,"Shocked by the events of September 11th, politicians all over the world condemned the terrorists for their reprehensible deed."
408,James had a great fear of making mistakes in class and being reprimanded.
409,The principal severely reproved the students whenever they made a mess in the hallway.
410,My parents would repudiate my brother if they ever found out he was gay.
411,"In order to keep his original idea from being copied, Henry resorted to reticence."
412,I would like to retract my previous statement.
413,"To win his audience, the speaker resorted to using rhetorical techniques he learned from his communication courses."
414,His father would never sanction his engagement to a girl who did not share the same religious beliefs as their family.
415,Tim is a huge fan of satirical comedy.
416,"Though Alfred is scrupulous in fulfilling his duties at work, he is less conscientious about his obligations at home."
417,Spenser's mother often scrutinizes him for every small mistake he makes.
418,"All the king's subjects, fearing his wrath, often acted quite servile."
419,People are often quite skeptical about things unless given believable proof.
420,"From the doctor's grim expression, it was clear he had somber news for the patient."
421,I always have to check my yard for stagnant pools of water so mosquitoes don't breed there.
422,Sometimes he has difficulty being articulate about his views.
423,"Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit."
424,Jimmy tried to cajole his parents into letting him drive across the country with his friends.
425,Censorious people delight in casting blame.
426,Pop artists thrive on the adulation of their loyal fans.
427,We must learn to meet adversity gracefully.
428,Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.
429,He was a benevolent old man who volunteered to mow his neighbors' lawns for free.
430,His stern tone and loud voice belied his inner sensitivity and caring nature.
431,"The wealthy, self-indulgent young man felt oddly drawn to the strict, ascetic life led by members of some monastic orders."
432,The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.
433,"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime."
434,What criterion did you use when you elected this essay as the winner?
435,Con artists take advantage of the credulity of inexperienced investors and swindle them out of their money.
436,I cannot dance one single step of Salsa.
437,"Even if your sentences were actually senseless, you at least have the luck to be able to form beautiful sentences."
438,I like my job very much.
439,"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth."
440,The murderer was convicted and sentenced to life in prison.
441,Sometimes hockey players get so competitive that fights break out.
442,There was a feeling of constraint in the room; no one dared to tell the king how foolish his decision was.
443,The consensus indicates that we are opposed to the proposed idea.
444,A small forest fire can easily spread and quickly become a great conflagration.
445,"Even though he had served his time in prison, the murderer was never quite condoned by the public for his crime."
446,I find words with concise definitions to be the easiest to remember.
447,He was still mad about the accident despite his wife's conciliatory words.
448,A cursory examination of his teeth indicated that he had gingivitis.
449,It was a surprise to see all the students behaving with decorum on prom night.
450,"The news article painted the defendant as a guilty man, even though he had been proven innocent."
451,The politician pushed for reform by denouncing the corruption of the government officials.
452,The depravity of the king's deeds led the people to believe he was nothing more than a tyrant that needed to be overthrown.
453,I dreamt about you.
454,I have to get a new computer.
455,I won't lose!
456,I was late to school.
457,Classes are starting again soon.
458,I think I'm gonna sneeze. Give me a tissue.
459,"For a moment there, I thought he had gone mad."
460,This day was just a waste of time and money.
461,It caught me off guard; I didn't know what to do.
462,But you've never told me about this!
463,I've changed my website's layout.
464,"When we are small, everything seems so big."
465,He won't beat me.
466,I have to do laundry while it's still sunny.
467,"Sorry, I don't think I'm gonna be able to."
468,You had plenty of time.
469,Stop criticizing me!
470,"Come on! Talk to me, Trang."
471,I'm almost done.
472,Take the other chair!
473,How many sandwiches are there left?
474,I'm not inspired anymore.
475,I won't lower myself to his level.
476,We could see the sunset from the window.
477,It's driving me crazy.
478,Did you say that I could never win?
479,It's all dark outside.
480,What happened? There's water all over the apartment.
481,"During summer breaks, I ate dinner at midnight."
482,You can finish your essay now.
483,"You will say and do things your parents said and did, even if you swore you would never do them."
484,I am alive even though I am not giving any sign of life.
485,Never try to die.
486,I am too old for this world.
487,Life begins when we realize who we really are.
488,Life starts when you decide what you are expecting from it.
489,Life begins when you pay taxes.
490,What you don't have is better than what you do have.
491,Life begins when you're ready to live it.
492,It is never too late to learn.
493,"It's just five in the morning, but nevertheless it is light out."
494,He told me the story of his life.
495,I never said I was fragile.
496,I wonder if I am made for this world.
497,What are you talking about?
498,I want a piece of candy.
499,I knew that today would be fun.
500,"A child is not a vessel for filling, but a fire to light."
501,Sadly many people will believe things told to them via an email which they would find implausible face-to-face.
502,"It might sound far-fetched, but this is a real problem."
503,"The police are really good at understanding ""Someone stole my credit card and ran up a lot of charges."" It's a lot harder to get them to buy into ""Someone stole my magic sword."""
504,When are we eating? I'm hungry!
505,I have class tomorrow.
506,I can't believe it!
507,"""Thank you."" ""You're welcome."""
508,"How do you pronounce ""pronounce""?"
509,Winter is my favorite season.
510,It's difficult to have great ideas.
511,The data suggest that the optimum length of a lecture may be 30 instead of 60 minutes.
512,I tend to look at the pictures before reading the text.
513,I learned a lot from you.
514,We walked a lot.
515,I spent twelve hours on the train.
516,She got sick this weekend.
517,"Hold on, someone is knocking at my door."
518,He's rich. He doesn't need money!
519,He's sleeping like a baby.
520,They're making too much noise. I can't concentrate.
521,I want a massage. I need to relax.
522,You're sick. You have to rest.
523,There's a secret path on the left.
524,Smith has spent years studying the effects of sleep and sleep loss on memory and learning.
525,She's asking for the impossible.
526,He disappeared without a trace.
527,I can place the palms of my hands on the floor without bending my knees.
528,There cannot be progress without communication.
529,Everyone would like to believe that dreams can come true.
530,The best way to make your dreams come true is to wake up.
531,The world doesn't revolve around you.
532,The world is full of fools.
533,Are you saying my life is in danger?
534,Do you have any idea what my life is like?
535,This place has a mysterious atmosphere.
536,I look forward to hearing your thoughts on this matter.
537,So what if I am gay? Is it a crime?
538,My life is hollow without him.
539,I don't want to fail my exams.
540,My mother bought two bottles of orange juice.
541,She was wearing a black hat.
542,We made pancakes for breakfast.
543,I spent the whole afternoon chatting with friends.
544,I want to be more independent.
545,Are you just going to stand there all day?
546,A rabbit has long ears and a short tail.
547,My heart was filled with happiness.
548,He wishes to erase bad memories.
549,"Sir, you are not allowed to park your car here."
550,Your secret will be safe with me.
551,I don't want to hear any more of your complaining.
552,Tell them to call me before they leave.
553,You should have refused such an unfair proposal.
554,I don't have the strength to keep trying.
555,Mathematics is not just the memorization of formulas.
556,I didn't mean to give you that impression.
557,Yes! I won twice in a row!
558,I'm tired of eating fast food.
559,I'm sick and tired of being sick and tired.
560,I can't wait to go on a vacation.
561,The rooms in this hotel are really very bad at muffling sounds. I can hear my neighbor chewing his gum!
562,The essence of mathematics is liberty.
563,Can you imagine what our lives would be like without electricity?
564,Where is the bathroom?
565,"If you lend someone $20 and never see that person again, it was probably worth it."
566,The essence of liberty is mathematics.
567,His story was too ridiculous for anyone to believe.
568,How many hours of sleep do you need?
569,Each person is a world.
570,I have French nationality but Vietnamese origins.
571,It's very frustrating to try to find your glasses when you can't see anything without glasses.
572,Do you think mankind will someday colonize the Moon?
573,"What famous songs do you wish you had composed, and why?"
574,"I'm going to buy myself a new camera, digital this time."
575,I'm crazy about you.
576,I don't know what is worse.
577,Life in prison is worse than the life of an animal.
578,I am proud to be a part of this project.
579,Beauty lies in the eyes of the one who sees.
580,Who buys this type of art?
581,Why can't we tickle ourselves?
582,The answer leads us to a vicious circle.
583,I'm too lazy to do my homework.
584,What... you still don't know how to drive?
585,Have you got a beard already?
586,I feel that I am free.
587,Freedom is not free.
588,I created a shortcut on the desktop.
589,I want an MP3 player!
590,My brother is very important. At least he thinks he is.
591,While eating a pizza he was annoying his sister.
592,"At this rate, we're not likely to be done before the end of the week."
593,I guess my view on friendship is pretty bleak because I've never really had to rely on anyone for anything.
594,What?! You ate my chocolate bear?!
595,"No, I cannot let you in, there's one person too many."
596,Where are you?
597,He will make you eat dirt.
598,He's got a face like a month of wet Sundays.
599,"Holy crap, who's the asshole who dares call me in the middle of the night?!"
600,He has just published an interesting series of articles.
601,You piss me off!
602,No way!
603,It's a dead end.
604,I don't necessarily trust translations.
605,To share one's passion is to live it fully.
606,"The day before yesterday you impressed everyone, but I already knew you."
607,"If I showed you my house, my neighborhood back then, would you understand where I am from?"
608,"Life is not long, it is wide!"
609,"When I was your age, Pluto was a planet."
610,She is on the verge of a nervous breakdown.
611,Elephants are the largest land animals alive today.
612,"If you teach me how to dance, I will show you my hidden scars."
613,The elevators in a skyscraper are vital systems.
614,Fruits and vegetables are essential to a balanced diet.
615,"Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals."
616,"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow."
617,I usually take a shower in the evening.
618,He spent the evening reading a book.
619,You have been thinking about this problem the whole morning. Take a break; go eat lunch.
620,"If I don't do it now, I never will."
621,Good night. Sweet dreams.
622,This song is so moving that it brings tears to my eyes.
623,There are a lot of things you don't know about my personality.
624,"Perhaps you are right, I have been selfish."
625,Everyone deserves a second chance.
626,"When we borrow money, we must agree on the conditions."
627,What is the advantage of this technology?
628,"If you do not have this program, you can download it now."
629,The headline caught my eye this morning.
630,Gonzales offers a bike to all his employees in Europe.
631,There are 1000 movies that one must watch before dying.
632,"I have been told that I am pragmatic, and I am."
633,"I prefer to look for a solution to problems, not only to report them."
634,I'm running out of ideas.
635,"The seven questions that an engineer has to ask himself are: who, what, when, where, why, how and how much."
636,You are still asking yourself what the meaning of life is?
637,When can one say that a person has alcohol issues?
638,Remember that we are all in the same boat.
639,"All I need to know about life, I learned from a snowman."
640,Check that your username and password are written correctly.
641,Goodbyes are always sad.
642,Don't forget about us!
643,Time has passed very fast.
644,Which is your luggage?
645,"Open the cupboard to the left, the bottles are in there."
646,There are also nightclubs where you dance flamenco.
647,The entrée includes a beverage.
648,I suggest that we go out on Friday.
649,That way I kill two birds with one stone.
650,Do you have professional experience?
651,How much do you leave for a tip in Spain?
652,Who painted this painting?
653,"At this hour, there is incredible traffic."
654,We men are used to waiting for the women.
655,Aren't you ashamed to talk like that?
656,"Now I have to leave, they're calling for my flight."
657,He's Argentinean and he gives tennis lessons.
658,"Please, can you indicate this to me on the map?"
659,The tap is running.
660,Please tell us where there is a grocery store.
661,I am four months pregnant.
662,I've got a pacemaker.
663,I would like batteries for this device.
664,Can I pay by credit card?
665,"Cut, wash and dry, please."
666,I feed my cat every morning and every evening.
667,Could you please repeat that?
668,"Generally, who visits their parents more, sons or daughters?"
669,It would of course be cheaper for you to sleep at our place.
670,You will find this in a hardware store.
671,Every effort deserves a reward.
672,It costs an arm and a leg.
673,More than 90 percent of visits to a web page are from search engines.
674,I need your advice.
675,Any chance you know where I put my keys?
676,I'm getting ready for the worst.
677,"Why did you wake me up to tell me something that big? Now, I'll never be able to concentrate on my work!"
678,That sounds interesting. What did you tell her?
679,Where is your twenty? I'll give you five bucks for it.
680,"Little by little, you will notice improvement in your writings."
681,I knew it was plastic but it tasted like wood.
682,Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.
683,There are things in this world which simply cannot be expressed in the form of words.
684,The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.
685,Take good care of yourself.
686,"As he sits in the dark, typing away at his computer, he hears the sound of morning birds chirping away and realizes he has been up all night - but the insomniac still refuses to sleep."
687,"Try as you might, but you cannot force a belief onto someone else, much less your own self."
688,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).
689,I am against using death as a punishment. I am also against using it as a reward.
690,The second half of a man's life is made up of nothing but the habits he has acquired during the first half.
691,Can I stay at your place? I have nowhere to go.
692,"Girls are more likely than boys to be malnourished, suffer poverty, face violence and be refused an education, according to a new report."
